id,lat,long
1,47.05282,-64.10085
2,46.85282,-64.30085
3,46.85282,-64.10085
4,46.85282,-63.90085
5,46.65282,-64.50085
6,46.65282,-64.30085
7,46.65282,-64.10085
8,46.65282,-63.90085
9,46.65282,-63.70085
10,46.65282,-63.50085
11,46.45282,-64.30085
12,46.45282,-64.10085
13,46.45282,-63.90085
14,46.45282,-63.70085
15,46.45282,-63.50085
16,46.45282,-63.30085
17,46.45282,-63.10085
18,46.45282,-62.90085
19,46.45282,-62.70085
20,46.45282,-62.50085
21,46.45282,-62.30085
22,46.45282,-62.10085
23,46.45282,-61.90085
24,46.25282,-64.10085
25,46.25282,-63.90085
26,46.25282,-63.70085
27,46.25282,-63.50085
28,46.25282,-63.30085
29,46.25282,-63.10085
30,46.25282,-62.90085
31,46.25282,-62.70085
32,46.25282,-62.50085
33,46.25282,-62.30085
34,46.25282,-62.10085
35,46.05282,-63.70085
36,46.05282,-63.50085
37,46.05282,-63.30085
38,46.05282,-63.10085
39,46.05282,-62.90085
40,46.05282,-62.70085
41,46.05282,-62.50085
